SAM id,species,sample2ref_count,sample2isolate_count,isolate2ref_count,overlap12,overlap13,overlap23,overlap123,consensus,consensus_overlap2,consensus_overlap3,consensus_overlap4,consensus_overlap5,rare,rare_overlap2,rare_overlap3,rare_overlap4,rare_overlap5
MBH047,E_coli,38700,33133,116293,15189,22401,9078,8240,21031,275,20477,390,20953,10287,9486,4326,40,9861
MHH535,E_coli,512,225,113174,14,71,22,1,361,9,67,43,118,29,2,2,0,4
MHH328,E_coli,36998,212,114511,60,36694,22,40,35570,26,35550,6,35556,350,22,116,0,136
MHH328,K_pneumoniae,10382,3594,44439,1403,8092,282,666,6612,13,6414,71,6486,871,627,61,4,664
MHH271,E_coli,903,2676,108900,484,205,1080,102,192,40,142,2,182,379,241,66,11,265
MBH082,E_coli,41501,773,114333,122,40380,35,62,40513,35,39999,477,40477,680,71,153,2,206
MBH082,K_pneumoniae,22158,27326,49843,9830,10275,13406,236,20444,9228,10168,738,19982,886,336,149,77,513
MHH514,K_pneumoniae,1090,1647,43861,171,120,32,2,862,98,104,150,351,25,4,7,0,11
MBS1164,K_pneumoniae,24263,30,43421,9,24184,12,6,24000,2,23966,8,23975,139,6,102,0,104
MHH362,E_coli,43994,70803,116576,21050,17347,37704,656,42891,20158,17850,3521,40924,111,48,50,8,73
MHH362,K_pneumoniae,1483,3421,43308,499,80,274,25,916,155,59,183,395,182,116,19,6,132
MHH537,E_coli,43960,1353,116913,499,42580,73,343,39753,283,39667,48,39716,1206,164,280,1,435
MHH537,K_pneumoniae,26415,27738,46370,14467,10516,8504,4024,14683,4039,10267,178,14411,4883,4327,4044,15,4553
MHH603,E_coli,8,38,108861,6,2,23,4,2,0,2,0,2,6,6,4,0,6
MHH611,K_pneumoniae,24010,1285,47846,153,23427,34,28,23217,16,23174,27,23202,653,133,125,3,251
MHS127,K_pneumoniae,1,2,46996,0,0,2,0,1,0,0,1,1,0,0,0,0,0
MBS1172,K_pneumoniae,23014,28,43354,10,22993,8,7,22820,2,22798,5,22804,87,5,73,0,75
MBS1154,K_pneumoniae,139,510,24787,75,7,36,0,76,59,4,0,63,29,0,3,5,8
MBH045,E_coli,32451,61163,97684,16491,11320,27478,397,30988,16216,11625,1944,29413,792,177,39,172,375
MBH045,K_pneumoniae,24766,26694,44630,11058,11271,12481,201,23753,10694,11286,1428,23224,709,229,48,49,307
MHH543,K_pneumoniae,5554,2159,43906,269,4412,42,12,4747,19,4302,127,4444,205,70,60,1,128
MHH247,K_pneumoniae,16875,1563,46341,203,15932,25,40,15414,10,15328,84,15410,667,161,194,62,407
MHH247,E_coli,32279,247,114263,23,31913,15,11,31608,9,31587,11,31598,432,13,107,1,120
MHH630,K_pneumoniae,1881,3149,47033,534,260,229,76,883,102,164,107,369,317,128,74,13,174
MHH630,E_coli,67106,66314,114709,39983,22234,14940,21191,26078,1780,21493,2792,25253,29785,27960,18576,18,29091
MBS1158,E_coli,26669,10437,108715,4617,21354,1903,2776,17842,227,17829,9,17839,2729,1980,252,2,2076
MHH544,E_coli,49610,28787,92431,10573,10621,8984,4289,14780,493,6721,7626,14676,20377,5969,3561,11161,18502
MHH544,K_pneumoniae,34099,54729,46975,19495,11438,1788,6560,9078,284,8678,411,9074,16153,13327,1164,768,14285
MHH593,K_pneumoniae,23845,2253,48026,324,22842,44,37,22644,19,22598,31,22630,758,278,109,5,381
MHH593,E_coli,32471,1081,78023,103,31743,26,30,31490,20,31328,130,31459,787,81,203,2,276
MBS1132,E_coli,28454,63958,97043,19280,7162,20974,5047,5530,702,4687,100,5440,12785,10833,3099,161,11354
MHH568,E_coli,14,13,109979,1,3,4,1,0,0,0,0,0,9,0,2,0,2
MHH568,K_pneumoniae,30,120,46320,19,0,10,3,2,1,0,0,1,18,11,2,0,11
MHH251,K_pneumoniae,259,572,49093,52,4,14,1,70,13,2,11,26,60,10,1,3,13
MHH251,E_coli,280,648,74983,60,9,41,0,105,26,6,0,32,49,3,0,0,3
MHH327,K_pneumoniae,179,299,49182,32,22,46,4,40,10,12,4,25,77,8,8,11,25
MBH073,K_pneumoniae,192,9,43718,3,186,5,1,170,0,169,1,170,6,2,4,0,6
MBS1146,K_pneumoniae,11884,134,43270,35,11760,28,17,11279,1,11272,2,11275,139,18,35,2,53
MHH533,K_pneumoniae,1326,1425,43934,152,491,30,5,875,22,449,92,563,72,21,24,0,45
MBS1148,E_coli,70918,91331,77985,52197,15333,11842,14085,16337,2107,14449,688,16062,28296,25782,10501,140,26712
MBS1148,K_pneumoniae,1231,2257,47817,262,187,85,23,817,122,147,102,366,93,24,14,7,39
MBS1129,E_coli,45971,86844,97720,33112,10012,24100,9902,8744,846,7663,244,8613,24649,21567,6532,310,22510
MBS1129,K_pneumoniae,475,793,252030,33,79,129,7,210,7,39,36,80,83,7,15,24,43
MBS1119,K_pneumoniae,34165,71692,47085,24726,5048,9402,5128,4228,489,3495,277,4203,21971,18123,2869,1444,19789
MHH618,K_pneumoniae,61,26,46887,1,19,3,0,25,0,15,0,15,5,0,3,0,3
MHH618,E_coli,1393,56,102436,13,1362,20,7,1290,0,1286,4,1290,30,6,11,0,17
MHS131,K_pneumoniae,3131,2023,44432,236,2107,46,18,2283,15,1960,47,2021,194,60,58,0,117
MHH538,K_pneumoniae,122,374,47016,89,21,57,26,11,0,11,0,11,68,57,18,0,58
MHH538,E_coli,4,2,108315,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MBH048,E_coli,2485,7227,97710,1007,838,3292,33,2107,913,841,143,1873,169,18,10,36,58
MHH626,E_coli,23,30,108570,3,17,13,3,14,0,13,1,14,2,1,2,0,2
MHH614,K_pneumoniae,8123,1629,43926,188,7308,31,12,7232,3,7133,27,7161,292,103,87,0,186
MBS1125,K_pneumoniae,20378,977,46803,134,19878,27,78,18809,10,18766,39,18804,446,59,57,3,114
MHH571,E_coli,44642,56474,108823,28522,13799,21061,19489,14775,667,12656,1235,14355,21495,20299,17261,21,21233
MBS1130,K_pneumoniae,21851,38,43892,13,21855,16,6,21686,5,21671,3,21678,73,4,64,0,66
MHH329,K_pneumoniae,24690,45,43397,12,24573,21,9,24367,6,24310,22,24333,158,2,110,0,111
MBH079,E_coli,34548,2612,103060,419,33104,78,120,32995,68,32850,129,32979,1111,296,153,2,431
MHH386,E_coli,58254,51466,116614,31132,23027,8168,19650,23963,2199,21699,1534,23390,17403,14493,4589,10,15688
MHH386,K_pneumoniae,28130,84800,46469,23751,2147,6061,485,13627,10862,1914,269,12917,2050,1300,201,33,1364
MBH096,K_pneumoniae,25904,28508,43678,11842,12073,12542,188,24277,11392,11996,632,23860,1338,348,108,99,530
MBH085,E_coli,10228,9552,116221,3214,6748,3318,1984,5062,22,5059,2,5061,1754,1447,352,0,1500
MHH546,E_coli,71580,95390,99164,45694,20152,26848,13171,26232,6446,18657,1961,25738,27475,24048,6874,565,25347
MHH521,K_pneumoniae,16922,1766,43844,217,15797,28,18,15850,9,15595,231,15826,491,158,150,0,302
MHH558,E_coli,30557,39406,110092,12856,16188,13760,4682,17468,1657,15379,446,17302,6966,6159,2193,160,6494
MBS1134,E_coli,42043,40641,117380,20957,19275,8228,13559,16435,690,16046,226,16316,11874,9763,3629,10,10634
MHH363,K_pneumoniae,9436,2519,45218,672,7951,153,289,6950,14,6700,74,6781,452,275,72,4,310
MHH363,E_coli,37574,68,114461,9,37369,16,5,36666,2,36648,4,36652,287,6,115,0,120
MHH527,K_pneumoniae,260,372,46788,20,3,11,0,197,6,1,45,52,4,0,1,0,1
MHH527,E_coli,19265,43,108276,10,19246,17,10,18992,1,18990,2,18992,30,3,23,0,23
MBH072,E_coli,1232,4131,97797,779,343,1528,211,291,39,238,5,281,498,406,98,1,426
MHH531,E_coli,75963,102126,99186,54750,16149,15489,24092,14320,798,13379,672,14158,46413,40193,13587,639,42222
MBH051,E_coli,62463,76406,116064,34897,21340,24730,10845,36614,12506,20783,3004,35365,13666,11712,10029,77,12485
MHH528,E_coli,21279,42,107329,12,21223,13,6,21013,0,21001,12,21013,55,7,19,0,25
MBS1139,K_pneumoniae,1039,1291,24593,160,58,69,3,443,75,27,144,244,217,16,17,118,149
MHH583,K_pneumoniae,22382,2620,49157,402,21170,44,65,20757,18,20692,30,20723,736,252,274,6,504
MHH583,E_coli,32936,472,77571,25,32452,19,12,32162,7,31987,139,32126,559,17,194,1,208
MHH515,E_coli,27149,50406,101999,15971,9317,17940,4186,10967,1851,8565,345,10648,5876,5086,3798,24,5357
MBH063,E_coli,48641,80601,116314,29056,14518,31103,3827,27274,10746,14164,1733,26187,11459,9584,2357,538,10457
MBH042,E_coli,37908,23404,115925,12094,24344,3933,7570,20548,935,20418,74,20504,6783,5085,1046,1,5502
MBH058,K_pneumoniae,342,321,43817,11,36,9,2,146,2,30,6,38,83,3,6,10,18
MBH058,E_coli,27095,61724,97670,19517,5198,19418,5934,4778,590,3857,274,4664,14335,12238,3930,218,12880
MBS1120,K_pneumoniae,
MBH088,E_coli,64060,63550,102869,36768,24642,11563,16872,25079,1368,23560,835,24766,27581,25622,11239,58,26471
MBH088,K_pneumoniae,2657,3539,47184,793,778,719,95,1439,187,689,197,1064,427,200,67,35,253
MHH582,E_coli,18904,392,114753,194,18660,109,149,16935,9,16934,0,16934,164,49,71,1,117
MHH582,K_pneumoniae,446,503,60909,44,52,19,2,227,5,38,53,94,29,9,4,3,16
MHH556,E_coli,41500,42,119084,5,41322,9,4,40934,2,40889,22,40911,316,2,193,0,194
MHH556,K_pneumoniae,6980,2209,45563,290,5991,41,15,6075,17,5786,36,5831,212,77,65,0,140
MBS1170,E_coli,3046,299,188459,32,2672,99,7,2220,9,2177,23,2208,325,11,71,14,95
MHH389,K_pneumoniae,19375,5626,46394,2780,15361,305,1562,13262,65,12823,126,12953,1523,1079,155,53,1251
MBH044,E_coli,16241,1306,116188,218,15470,109,112,14497,14,14489,2,14491,578,105,84,0,183
MHS130,K_pneumoniae,926,1633,47070,233,117,141,57,558,57,72,107,233,155,62,72,21,115
MHS130,E_coli,51600,53121,118771,26090,23643,12568,12887,23549,1051,22526,616,23392,18047,16588,8572,44,17190
MHH340,K_pneumoniae,10991,40542,49102,8769,951,3814,557,1713,751,818,115,1647,3513,2859,324,51,2965
MHH539,E_coli,1888,3321,111050,333,271,447,25,739,58,226,33,315,467,101,19,5,113
MHH609,K_pneumoniae,24554,1861,48044,253,23768,36,35,23551,14,23502,33,23536,851,229,135,4,355
MHH609,E_coli,31409,1520,77768,170,30500,30,42,30262,23,30109,129,30239,930,137,207,4,337
MHH272,K_pneumoniae,974,1318,48976,340,305,221,149,209,13,190,7,207,416,160,99,70,271
MHS125,K_pneumoniae,22474,19422,44266,13500,7927,1875,5986,7448,53,7267,143,7425,8275,7581,2050,64,7783
MHS125,E_coli,35578,1245,111665,391,34667,125,281,33691,182,33642,39,33681,717,114,142,3,255
MBS1138,E_coli,21241,15,113100,6,21199,5,3,21027,0,20996,30,21026,92,5,85,1,89
MHH518,E_coli,37664,67912,99437,22929,11893,23606,4196,16153,4479,10935,487,15670,9223,7734,2947,152,8122
MHH548,E_coli,9076,19191,108848,6026,2747,9530,4121,2304,67,2139,72,2268,3643,3309,2800,5,3550
MBS1147,E_coli,965,3475,117155,565,300,1653,206,301,43,226,15,283,289,241,181,1,270
MHH584,K_pneumoniae,4885,2569,43779,359,3576,53,22,3936,46,3321,87,3453,174,83,42,2,124
MHH584,E_coli,42696,12,118868,3,42570,8,1,41953,0,41906,26,41932,286,3,215,0,217
MHH532,E_coli,38491,113,107377,66,38373,13,52,37252,33,37240,10,37250,98,16,42,0,56
MBH065,E_coli,82,78,97799,8,11,28,3,18,1,9,5,15,24,4,3,4,8
MHH361,E_coli,40124,75596,115038,27711,9735,24107,8097,10062,1461,8070,387,9727,15781,13779,6267,110,14442
MHH361,K_pneumoniae,878,1096,44833,158,177,81,49,305,5,121,59,185,154,57,23,37,105
MBH041,E_coli,42108,54596,116067,22711,16670,14657,11919,12957,375,12446,349,12890,16323,13763,6703,188,14551
MBH057,E_coli,47977,72784,116154,26889,16215,28884,5249,27821,9477,15775,2131,26779,7164,5991,4351,92,6415
MBH077,E_coli,62881,49413,103272,29634,29715,6421,17238,30319,3836,29415,634,30151,17885,14269,3203,150,15446
MHH577,E_coli,69,34,108240,0,12,0,0,13,0,6,0,6,25,0,2,0,2
MHH579,K_pneumoniae,25096,69,43250,19,24652,22,15,24568,3,24346,184,24531,272,10,112,71,191
MBH086,E_coli,31420,1518,114822,225,30159,82,78,30262,48,29881,354,30241,709,147,167,2,300
MBH086,K_pneumoniae,22836,25851,46355,10242,11008,12669,147,21995,10015,11075,542,21510,653,143,43,33,198
MHH333,K_pneumoniae,799,1850,49063,323,53,164,32,306,115,38,68,213,154,59,20,26,96
