fam_sample	compare_sample	type	bc_dist
MHH595	MHS120	fam-fam	0.334166333542
MHH595	MHS138	fam-fam	0.189418778413
MHH595	MHH594	fam-fam	0.617024261702
MHH595	MHS119	fam-fam	0.496827849048
MHH595	MHS137	fam-fam	0.622585567905
MHH595	MBH043	fam-fam	0.327489399123
MHH595	MBH052	fam-fam	0.35139720271
MHH595	MBH059	fam-fam	0.745960123788
MHH595	MBH060	fam-fam	0.366609641652
MHH595	MBH089	fam-fam	0.594523039178
MHH595	MBS1141	fam-fam	0.806322261264
MHH595	MBS1174	fam-fam	0.426181256545
MHH595	MHH336	fam-fam	0.6543433
MHH595	MHH366	fam-fam	0.461206992241
MHH595	MHH552	fam-fam	0.422642269057
MHH595	MHH616	fam-fam	0.47247816812
MHH595	MBH050	fam-fam	0.4054990811
MHH595	MBH056	fam-fam	0.276952419238
MHH595	MBH066	fam-fam	0.430777243078
MHH595	MBH070	fam-fam	0.531208982802
MHH595	MBH094	fam-fam	0.4248702
MHH595	MBS1151	fam-fam	0.510759428766
MHH595	MHH259	fam-fam	0.41750434175
MHH595	MHH348	fam-fam	0.386566107985
MHH595	MHH371	fam-fam	0.402833880567
MHH595	MHH565	fam-fam	0.48623987156
MHH595	MBH053	fam-fam	0.330187099528
MHH595	MBH055	fam-fam	0.36460046823
MHH595	MBH062	fam-fam	0.342993334299
MHH595	MBH069	fam-fam	0.373738143435
MHH595	MBS1116	fam-fam	0.251389325139
MHH595	MBS1150	fam-fam	0.49510084951
MHH595	MHH258	fam-fam	0.496811474841
MHH595	MHH347	fam-fam	0.475748473787
MHH595	MHH372	fam-fam	0.479563695913
MHH595	MHH564	fam-fam	0.285117821279
MHH595	MBH046	fam-fam	0.718213285911
MHH595	MBH049	fam-fam	0.349516204855
MHH595	MBH054	fam-fam	0.692186269219
MHH595	MBH061	fam-fam	0.430504986101
MHH595	MBH068	fam-fam	0.355381803307
MHH595	MBH095	fam-fam	0.52414950483
MHH595	MBS1149	fam-fam	0.647523311881
