Index,ARG,cARG_abundance,cARG_cDB_abundance,total_reads
MHH267,0.000434977,1.05E-05,9.54E-06,12474221
MBS1167,0.000470333,1.41E-06,9.05E-07,27633584
MHH620,0.00046905,5.98E-06,4.80E-06,16040922
MBH047,0.00029195,1.44E-06,1.20E-06,42442198
MBS1131,0.000770027,7.62E-06,4.44E-06,15757880
MHH588,0.000554817,2.10E-06,1.56E-06,12840265
MHH564,0.000702376,5.80E-06,4.84E-06,13442942
MHS123,0.000472725,5.63E-05,5.60E-05,9595438
MHH601,0.000583891,6.59E-06,5.24E-06,11830979
MHH262,0.000749342,5.86E-06,4.15E-06,8195187
MHS142,0.000574333,1.44E-06,7.22E-07,9699945
MBH097,0.001336588,3.03E-05,2.76E-05,18691625
MHH535,0.016656445,0.000308995,0.000234951,12560063
MHH328,0.001033411,1.79E-05,1.46E-05,22192528
MHH374,0.000988069,7.24E-06,4.80E-06,12713689
MHH561,0.000655911,1.97E-06,1.02E-06,14698639
MHH569,0.00054574,4.00E-06,3.08E-06,48997720
MHH343,0.001169162,5.67E-05,5.39E-05,23290179
MBS1160,0.000514313,3.65E-06,2.11E-06,10406106
MHH608,0.000615329,1.44E-05,1.27E-05,41025204
MBS1116,0.00064563,4.49E-06,3.52E-06,19579325
MHH336,0.000556873,5.23E-06,4.16E-06,12993987
MHH334,0.000295667,1.32E-06,5.03E-07,15892877
MHH523,0.000827183,1.38E-05,1.13E-05,8681273
MHH271,0.001867154,8.17E-05,7.74E-05,21422978
MHH524,0.001355385,2.19E-05,1.92E-05,13993805
MHH572,0.007573443,0.000193546,0.000166889,32224974
MHH365,0.000419306,5.64E-06,4.58E-06,30154585
MBS1159,0.000325082,2.44E-06,1.56E-06,26227196
MHH268,0.000333707,2.39E-06,1.48E-06,26403410
MHH516,0.000640376,2.90E-06,1.24E-06,14480560
MBH080,0.000761716,2.49E-06,1.02E-06,45045688
MHS136,0.000966577,3.43E-06,1.68E-06,16627755
MHH623,0.000601366,4.97E-06,4.27E-06,21316455
MHH264,0.000572012,8.03E-06,6.35E-06,16066095
MHH526,0.000815602,2.15E-05,1.97E-05,13734644
MBH082,0.002557174,2.21E-05,1.56E-05,27849492
MHH514,0.002474284,0.000204951,0.000197217,16808905
MHH263,0.000486844,4.26E-05,4.13E-05,10566019
MBS1166,0.001172005,9.32E-06,6.66E-06,17710682
MBS1164,0.005584567,0.000594651,0.000568601,9788942
MHH610,0.000674538,1.72E-05,1.62E-05,13723470
MHH553,0.00050212,4.22E-05,4.14E-05,16904334
MHH341,0.000775901,1.83E-06,5.95E-07,21857168
MHH594,0.000302425,3.34E-06,2.92E-06,23662064
MHH559,0.009636192,0.001015754,0.00099312,12989364
MHH249,0.000176052,5.25E-07,1.31E-07,15245465
MHS143,0.0006136,1.86E-05,1.59E-05,6602018
MBS1144,0.001022125,1.04E-05,6.02E-06,24103714
MHH362,0.000514644,3.20E-06,1.25E-06,24712230
MHH613,0.001126804,3.41E-06,7.87E-07,15238679
MHH537,0.00103118,2.55E-05,2.01E-05,17655504
MHH566,0.001064299,6.76E-05,6.52E-05,21508996
MBH064,0.003202753,2.13E-05,7.57E-06,12543583
MHH552,0.000544065,1.49E-05,1.41E-05,40145904
MHH603,0.000741026,1.29E-05,1.13E-05,18004775
MHH611,0.006064231,0.000524834,0.000501058,8537933
MHH259,0.000584712,5.12E-06,3.74E-06,22453777
MHH550,0.000899279,1.39E-05,1.25E-05,20505309
MHH326,0.000727694,3.89E-06,1.85E-06,10273556
MHS127,0.000558776,1.86E-06,1.42E-06,11287163
MHH619,0.000430187,1.34E-06,4.47E-07,15674579
MHH627,0.00793671,0.000262416,0.000228032,18729802
MBS1172,0.005504302,0.000597472,0.000571221,3809384
MBS1154,0.000885642,8.30E-06,5.53E-06,12649585
MBH045,0.001693469,9.52E-05,8.81E-05,24280922
MHH346,0.00166244,8.89E-05,8.47E-05,32690512
MHH260,0.001051317,5.79E-06,3.08E-06,19168330
MHH543,0.002023969,0.000165824,0.000161489,16607962
MHH247,0.001200415,3.39E-05,2.98E-05,16629253
MHH630,0.000881137,5.18E-06,3.07E-06,18915334
MBS1162,0.001213781,8.62E-06,2.30E-06,33986359
MBS1158,0.002253188,0.000119873,0.000114743,17543585
MBS1126,0.000840018,2.22E-05,2.07E-05,31858845
MHH396,0.000741373,1.81E-05,1.61E-05,18658632
MHH586,0.000517372,4.68E-05,4.59E-05,17005179
MHH606,0.001428177,2.21E-05,1.85E-05,20341315
MBS1173,0.000532485,2.52E-06,9.69E-07,15478378
MHH575,0.000546583,4.21E-06,3.47E-06,34891342
MHH570,0.000455032,9.64E-06,9.00E-06,39111553
MHH250,0.001583886,7.33E-06,4.91E-06,14860290
MBS1136,0.000406057,1.44E-05,1.32E-05,7489096
MHH585,0.000887091,8.58E-06,6.72E-06,15040178
MHH522,0.000499257,1.83E-05,1.73E-05,36368062
MBS1155,0.000532674,2.01E-06,1.34E-06,17949060
MHH252,0.000968756,3.86E-06,7.81E-07,20482978
MBH074,0.001084519,1.52E-05,1.27E-05,20239381
MHH544,0.001563982,0.000110037,0.000106154,17257876
MBS1118,0.000153267,9.30E-06,8.28E-06,9780336
MHH355,0.000441303,2.03E-06,1.13E-07,8869181
MHH573,0.000477138,1.66E-06,1.36E-06,30098237
MHH617,0.000349732,1.85E-06,8.61E-07,16252458
MBS1123,0.000310569,3.44E-06,2.51E-06,32292326
MHH337,0.000656802,1.69E-05,1.59E-05,23663151
MHH519,0.000996446,2.67E-05,2.44E-05,17066657
MHH352,0.00066618,6.42E-06,5.32E-06,21806421
MBS1149,0.001695712,6.81E-05,6.42E-05,15398845
MBH061,0.002283246,8.51E-05,7.88E-05,15909368
MBH038,0.000658592,2.42E-06,6.39E-07,21902777
MHH622,0.000417428,2.22E-06,2.00E-06,13499327
MHH557,0.000596851,1.29E-05,1.06E-05,11644451
MBH092,0.000302329,2.24E-06,1.05E-06,30397392
MHH565,0.000541921,6.46E-06,5.56E-06,13315601
MHS121,0.002173577,1.97E-05,1.37E-05,17934035
MHH593,0.008855041,0.000452503,0.00041361,16044081
MHH581,0.000677062,4.74E-06,2.84E-06,9502819
MBS1151,0.000574358,5.40E-06,3.98E-06,31666653
MHH370,0.00154864,5.82E-05,5.49E-05,13478278
MHH615,0.005870188,1.61E-05,,2675042
MBS1142,0.000406853,2.68E-06,1.72E-06,37713832
MBS1132,0.00061716,2.92E-05,2.82E-05,16631013
MHH568,0.000792056,4.18E-06,2.45E-06,26533489
MBS1171,0.001153217,8.48E-05,8.01E-05,15446354
MHH251,0.000734027,8.24E-06,5.45E-06,13221578
MBH054,0.001951952,6.63E-05,6.12E-05,18125962
MBH071,0.002106812,1.72E-05,9.23E-06,21346945
MHH369,0.000845646,2.34E-05,2.18E-05,14889202
MHH349,0.000956894,5.68E-05,5.45E-05,10634405
MHH393,0.000247227,1.93E-06,1.45E-06,29580138
MHH567,0.000487742,4.18E-06,3.80E-06,15782924
MHH327,0.000677521,5.89E-06,4.00E-06,21749867
MBH094,0.00054278,5.42E-06,4.40E-06,28398269
